structure_id,configuration_id,atom_index_1based,cif_site_label,initial_magmom_muB,reference_structure
gen_20_232,AM,6,O5,0.0,reference_structures/gen_20_232.cif
gen_20_232,AM,7,O6,0.0,reference_structures/gen_20_232.cif
gen_20_232,AM,8,O7,0.0,reference_structures/gen_20_232.cif
gen_20_232,AM,9,O8,0.0,reference_structures/gen_20_232.cif
gen_20_232,FM,1,Ca0,0.0,reference_structures/gen_20_232.cif
gen_20_232,FM,2,Ca1,0.0,reference_structures/gen_20_232.cif
gen_20_232,FM,3,Mn2,4.0,reference_structures/gen_20_232.cif
gen_20_232,FM,4,Mn3,4.0,reference_structures/gen_20_232.cif
gen_20_232,FM,5,O4,0.0,reference_structures/gen_20_232.cif
gen_20_232,FM,6,O5,0.0,reference_structures/gen_20_232.cif
gen_20_232,FM,7,O6,0.0,reference_structures/gen_20_232.cif
gen_20_232,FM,8,O7,0.0,reference_structures/gen_20_232.cif
gen_20_232,FM,9,O8,0.0,reference_structures/gen_20_232.cif
gen_20_232,NM,1,Ca0,0.0,reference_structures/gen_20_232.cif
gen_20_232,NM,2,Ca1,0.0,reference_structures/gen_20_232.cif
gen_20_232,NM,3,Mn2,0.0,reference_structures/gen_20_232.cif
gen_20_232,NM,4,Mn3,0.0,reference_structures/gen_20_232.cif
gen_20_232,NM,5,O4,0.0,reference_structures/gen_20_232.cif
gen_20_232,NM,6,O5,0.0,reference_structures/gen_20_232.cif
gen_20_232,NM,7,O6,0.0,reference_structures/gen_20_232.cif
gen_20_232,NM,8,O7,0.0,reference_structures/gen_20_232.cif
gen_20_232,NM,9,O8,0.0,reference_structures/gen_20_232.cif
gen_32_686,AM,1,Mn0,5.0,reference_structures/gen_32_686.cif
gen_32_686,AM,2,Mn1,-5.0,reference_structures/gen_32_686.cif
gen_32_686,AM,3,C2,0.0,reference_structures/gen_32_686.cif
gen_32_686,AM,4,C3,0.0,reference_structures/gen_32_686.cif
gen_32_686,AM,5,O4,0.0,reference_structures/gen_32_686.cif
gen_32_686,AM,6,O5,0.0,reference_structures/gen_32_686.cif
gen_32_686,AM,7,O6,0.0,reference_structures/gen_32_686.cif
gen_32_686,AM,8,O7,0.0,reference_structures/gen_32_686.cif
gen_32_686,AM,9,O8,0.0,reference_structures/gen_32_686.cif
gen_32_686,AM,10,O9,0.0,reference_structures/gen_32_686.cif
gen_32_686,FM,1,Mn0,5.0,reference_structures/gen_32_686.cif
gen_32_686,FM,2,Mn1,5.0,reference_structures/gen_32_686.cif
gen_32_686,FM,3,C2,0.0,reference_structures/gen_32_686.cif
gen_32_686,FM,4,C3,0.0,reference_structures/gen_32_686.cif
gen_32_686,FM,5,O4,0.0,reference_structures/gen_32_686.cif
gen_32_686,FM,6,O5,0.0,reference_structures/gen_32_686.cif
gen_32_686,FM,7,O6,0.0,reference_structures/gen_32_686.cif
gen_32_686,FM,8,O7,0.0,reference_structures/gen_32_686.cif
gen_32_686,FM,9,O8,0.0,reference_structures/gen_32_686.cif
gen_32_686,FM,10,O9,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,1,Mn0,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,2,Mn1,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,3,C2,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,4,C3,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,5,O4,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,6,O5,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,7,O6,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,8,O7,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,9,O8,0.0,reference_structures/gen_32_686.cif
gen_32_686,NM,10,O9,0.0,reference_structures/gen_32_686.cif
gen_37_193,AM,1,Fe0,5.0,reference_structures/gen_37_193.cif
gen_37_193,AM,2,Fe1,-5.0,reference_structures/gen_37_193.cif
gen_37_193,AM,3,F2,0.0,reference_structures/gen_37_193.cif
gen_37_193,AM,4,F3,0.0,reference_structures/gen_37_193.cif
gen_37_193,AM,5,F4,0.0,reference_structures/gen_37_193.cif
gen_37_193,AM,6,F5,0.0,reference_structures/gen_37_193.cif
gen_37_193,AM,7,F6,0.0,reference_structures/gen_37_193.cif
gen_37_193,AM,8,H7,0.0,reference_structures/gen_37_193.cif
gen_37_193,AM,9,O8,0.0,reference_structures/gen_37_193.cif
gen_37_193,FM,1,Fe0,5.0,reference_structures/gen_37_193.cif
gen_37_193,FM,2,Fe1,5.0,reference_structures/gen_37_193.cif
gen_37_193,FM,3,F2,0.0,reference_structures/gen_37_193.cif
gen_37_193,FM,4,F3,0.0,reference_structures/gen_37_193.cif
gen_37_193,FM,5,F4,0.0,reference_structures/gen_37_193.cif
gen_37_193,FM,6,F5,0.0,reference_structures/gen_37_193.cif
gen_37_193,FM,7,F6,0.0,reference_structures/gen_37_193.cif
gen_37_193,FM,8,H7,0.0,reference_structures/gen_37_193.cif
gen_37_193,FM,9,O8,0.0,reference_structures/gen_37_193.cif
gen_37_193,NM,1,Fe0,0.0,reference_structures/gen_37_193.cif
gen_37_193,NM,2,Fe1,0.0,reference_structures/gen_37_193.cif
gen_37_193,NM,3,F2,0.0,reference_structures/gen_37_193.cif
gen_37_193,NM,4,F3,0.0,reference_structures/gen_37_193.cif
gen_37_193,NM,5,F4,0.0,reference_structures/gen_37_193.cif
gen_37_193,NM,6,F5,0.0,reference_structures/gen_37_193.cif
gen_37_193,NM,7,F6,0.0,reference_structures/gen_37_193.cif
gen_37_193,NM,8,H7,0.0,reference_structures/gen_37_193.cif
gen_37_193,NM,9,O8,0.0,reference_structures/gen_37_193.cif
gen_37_898,AM,1,Ni0,2.0,reference_structures/gen_37_898.cif
gen_37_898,AM,2,Ni1,-2.0,reference_structures/gen_37_898.cif
gen_37_898,AM,3,C2,0.0,reference_structures/gen_37_898.cif
gen_37_898,AM,4,C3,0.0,reference_structures/gen_37_898.cif
gen_37_898,AM,5,O4,0.0,reference_structures/gen_37_898.cif
gen_37_898,AM,6,O5,0.0,reference_structures/gen_37_898.cif
gen_37_898,AM,7,O6,0.0,reference_structures/gen_37_898.cif
gen_37_898,AM,8,O7,0.0,reference_structures/gen_37_898.cif
gen_37_898,AM,9,O8,0.0,reference_structures/gen_37_898.cif
gen_37_898,AM,10,O9,0.0,reference_structures/gen_37_898.cif
gen_37_898,FM,1,Ni0,2.0,reference_structures/gen_37_898.cif
gen_37_898,FM,2,Ni1,2.0,reference_structures/gen_37_898.cif
gen_37_898,FM,3,C2,0.0,reference_structures/gen_37_898.cif
gen_37_898,FM,4,C3,0.0,reference_structures/gen_37_898.cif
gen_37_898,FM,5,O4,0.0,reference_structures/gen_37_898.cif
gen_37_898,FM,6,O5,0.0,reference_structures/gen_37_898.cif
gen_37_898,FM,7,O6,0.0,reference_structures/gen_37_898.cif
gen_37_898,FM,8,O7,0.0,reference_structures/gen_37_898.cif
gen_37_898,FM,9,O8,0.0,reference_structures/gen_37_898.cif
gen_37_898,FM,10,O9,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,1,Ni0,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,2,Ni1,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,3,C2,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,4,C3,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,5,O4,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,6,O5,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,7,O6,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,8,O7,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,9,O8,0.0,reference_structures/gen_37_898.cif
gen_37_898,NM,10,O9,0.0,reference_structures/gen_37_898.cif
